model_name,roc_auc,average_precision,threshold,precision,recall,specificity,false_positive_rate,f1,tp,fp,tn,fn
Random Forest,0.7287729230921374,0.45521557041995026,0.21,0.3953006219765031,0.5635467980295567,0.7804265997490589,0.21957340025094108,0.4646628757108042,572.0,875.0,3110.0,443.0
CatBoost,0.7157921021564858,0.42578148632996243,0.19,0.39688164422395467,0.5517241379310345,0.7864491844416562,0.21355081555834377,0.46166529266281947,560.0,851.0,3134.0,455.0
Gradient Boosting,0.7235853663059133,0.42989644134918614,0.24,0.3969521044992743,0.5389162561576355,0.7914680050188205,0.20853199498117947,0.4571667363142499,547.0,831.0,3154.0,468.0
Logistic Regression,0.7205243802189244,0.4120847968505974,0.55,0.3842364532019704,0.5379310344827586,0.7804265997490589,0.21957340025094108,0.44827586206896547,546.0,875.0,3110.0,469.0
XGBoost,0.6943733582214092,0.4070482878718667,0.29,0.37155297532656023,0.5044334975369458,0.782685069008783,0.21731493099121701,0.4279147513581278,512.0,866.0,3119.0,503.0
